lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,distractor_id,target_id,trial_id
lmu_adult19,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,175
lmu_adult20,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,176
lmu_adult20,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,177
lmu_adult20,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,178
lmu_adult20,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,179
lmu_adult20,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,180
lmu_adult20,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,181
lmu_adult20,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,182
lmu_adult20,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,183
lmu_adult21,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,184
lmu_adult21,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,185
lmu_adult21,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,186
lmu_adult21,FAM_LR2_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,187
lmu_adult21,FAM_RL1_1280x960.avi,8,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,188
lmu_adult21,FAM_RL2_1280x960.avi,6,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,189
lmu_adult21,FAM_RR1_1280x960.avi,4,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,190
lmu_adult21,FAM_RR2_1280x960.avi,3,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,191
lmu_adult22,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,192
lmu_adult22,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,193
lmu_adult22,FAM_LR1_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,194
