participant_lab_id,lab_id,participant_id,age_cohort,participant_gender,age_years,age_years_n,age_days,age_days_num,age_mo,age_exclusion
babylabINCC_BLI_326-adults,babylabINCC,BLI_326-adults,adults,man,34,34,NA,NA,NA,no
babylabINCC_BLI_329-adults,babylabINCC,BLI_329-adults,adults,man,34,34,NA,NA,NA,no
babylabINCC_BLI_332-adults,babylabINCC,BLI_332-adults,adults,man,32,32,NA,NA,NA,no
babylabINCC_BLI_417-adults,babylabINCC,BLI_417-adults,adults,woman,25,25,NA,NA,NA,no
babylabINCC_BLI_419-adults,babylabINCC,BLI_419-adults,adults,woman,34,34,NA,NA,NA,no
babylabINCC_BLI_421-adults,babylabINCC,BLI_421-adults,adults,woman,24,24,NA,NA,NA,no
babylabINCC_BLI_422-adults,babylabINCC,BLI_422-adults,adults,woman,25,25,NA,NA,NA,no
babylabINCC_BLI_423-adults,babylabINCC,BLI_423-adults,adults,woman,33,33,NA,NA,NA,no
babylabINCC_BLI_424-adults,babylabINCC,BLI_424-adults,adults,woman,25,25,NA,NA,NA,no
babylabINCC_BLI_427-adults,babylabINCC,BLI_427-adults,adults,woman,35,35,NA,NA,NA,no
babylabINCC_BLI_428-adults,babylabINCC,BLI_428-adults,adults,woman,35,35,NA,NA,NA,no
babylabINCC_BLI_430-adults,babylabINCC,BLI_430-adults,adults,woman,38,38,NA,NA,NA,no
babylabINCC_BLI_431-adults,babylabINCC,BLI_431-adults,adults,woman,30,30,NA,NA,NA,no
babylabINCC_BLI_432-adults,babylabINCC,BLI_432-adults,adults,woman,39,39,NA,NA,NA,no
babylabINCC_BLI_461-adults,babylabINCC,BLI_461-adults,adults,woman,49,49,NA,NA,NA,no
babylabINCC_BLI_149-toddlers,babylabINCC,BLI_149-toddlers,toddlers,boy,NA,NA,752,752,24.706365503080086,no
babylabINCC_BLI_153-toddlers,babylabINCC,BLI_153-toddlers,toddlers,boy,NA,NA,556,556,18.26694045174538,no
babylabINCC_BLI_154-toddlers,babylabINCC,BLI_154-toddlers,toddlers,boy,NA,NA,808,808,26.546201232032857,no
